SampleID,Site,Use,Horizon,MidDepth,eoc,mbc,ppt,tmp,pet,ari,ep,pptpet,FracFine_avg,FracFine_sd,FracCoarse_avg,FracCoarse_sd,FracTotal_avg,FracTotal_sd,eocfine,eoccoarse,eoctotal
EKS_APT_S0H1,EKS,A,H1,7.5,0.02684809388035199,110.91569638819556,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.15666666666666668,0.06973589633822196,0,0,0.15666666666666668,0.06973589633822196,0.17137081200224674,1,0.17137081200224674
EKS_APT_S0H2,EKS,A,H2,25.5,0.0250879828767,55.32670311215554,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.15714285714285714,0.06429563415527194,0.008333333333333333,0.02282177322938192,0.16547619047619047,0.06868232599993906,0.15965080012445454,3.010557945204,0.1516108317728633
EKS_APT_S0H3,EKS,A,H3,43,0.02354027299733186,56.89081652824919,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.24285714285714285,0.09010067629120144,0,0,0.24285714285714285,0.09010067629120144,0.09693053587136649,1,0.09693053587136649
EKS_APT_S0H4,EKS,A,H4,62.5,0.03415049856341351,50.3340958118722,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.20566666666666666,0.10801079716642567,0,0,0.20566666666666666,0.10801079716642567,0.1660478050084936,1,0.1660478050084936
EKS_APT_S0H5,EKS,A,H5,98,0.030731478783288,44.86493713800886,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.11588164251207729,0.057629983823408906,0,0,0.11588164251207729,0.057629983823408906,0.2651971280100309,1,0.2651971280100309
EKS_APT_S0H6,EKS,A,H6,136.5,0.024804252230936,33.9689414672711,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.05161290322580645,0.04740582061263141,0,0,0.05161290322580645,0.04740582061263141,0.480582386974385,1,0.480582386974385
EKS_APT_S0H7,EKS,A,H7,162.5,0.00735712831260571,15.811127630457802,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.03214285714285715,0.0307640792390829,0,0,0.03214285714285715,0.0307640792390829,0.2288884363921776,1,0.2288884363921776
EKS_APT_S0H8,EKS,A,H8,186.5,0.0101597337773,17.22328026377777,1008.7198581869732,13.001498009030252,1496.000001320003,0.6628000140190125,-0.4830678599000171,0.6742779794765535,0.0038461538461538464,0.011602387022306428,0,0,0.0038461538461538464,0.011602387022306428,2.6415307820979996,1,2.6415307820979996
EKS_NPT_S0H1,EKS,N,H1,9.5,0.08769528195637602,162.4348283111956,1040.9933598466291,13.158171830237468,1505.000008999997,0.6693999767303467,-0.4457344946193802,0.6916899359610776,0.5447368421052632,0.16106825402958944,0.42236842105263156,0.1713700383920116,0.9671052631578947,0.026421571020752686,0.160986507939241,0.20762745883752579,0.09067811467598065
EKS_NPT_S0H2,EKS,N,H2,28,0.069129388577656,52.13871929859556,1040.9933598466291,13.158171830237468,1505.000008999997,0.6693999767303467,-0.4457344946193802,0.6916899359610776,0.8361111111111111,0.09860132971832694,0.1388888888888889,0.08837679286068187,0.975,0.025724787771376323,0.0826796674018477,0.49773159775912323,0.07090193700272411
EKS_NPT_S0H3,EKS,N,H3,50.5,0.07235965895997999,38.75412312740892,1040.9933598466291,13.158171830237468,1505.000008999997,0.6693999767303467,-0.4457344946193802,0.6916899359610776,0.7574074074074074,0.17122505641120386,0.13425925925925927,0.08060711583047196,0.8916666666666666,0.18579351648868367,0.09553598004496136,0.5389547012191612,0.08115101939437008
EKS_NPT_S0H4,EKS,N,H4,73,0.03991117732597599,13.974753207973334,1040.9933598466291,13.158171830237468,1505.000008999997,0.6693999767303467,-0.4457344946193802,0.6916899359610776,0.8041666666666667,0.06926611088870993,0.11388888888888889,0.06076849889141857,0.9180555555555555,0.06519515700366113,0.049630479576343194,0.3504396057890575,0.04347359708729608
EKS_NPT_S0H5,EKS,N,H5,105.5,0.02415300065086026,55.816265860590896,1040.9933598466291,13.158171830237468,1505.000008999997,0.6693999767303467,-0.4457344946193802,0.6916899359610776,0.7686170212765957,0.13295022821431585,0.13670212765957448,0.12378222722985457,0.9053191489361702,0.07870144642142965,0.031423973165133075,0.17668342888567035,0.02667899014313589
EKS_NPT_S0H6,EKS,N,H6,148,0.00388900106144893,75.56863271784681,1040.9933598466291,13.158171830237468,1505.000008999997,0.6693999767303467,-0.4457344946193802,0.6916899359610776,0.6276315789473684,0.1504261372222318,0.29539473684210527,0.18110539554600472,0.9230263157894737,0.09557464518519522,0.006196311963734144,0.013165437891764753,0.00421331547640939
