Site,Use,seqhorizon,horizon,horizon_top,horizon_bottom,MidDepth,COLE,BD,WaterCont,totalporosity,effporosity,clay,soc
HAY,N,H1,A,0,39,19.5,0.028,1.28,26.5,0.516981132,0.177781132,28.8,1.8
HAY,N,H2,BA,39,58,48.5,0.059,1.45,25.1,0.452830189,0.088880189,42.7,0.8
HAY,N,H3,Bt,58,92,75,0.04,1.44,23.8,0.456603774,0.113883774,38.8,0.6
HAY,N,H4,Btk1,92,112,102,0.032,1.43,22.6,0.460377358,0.137197358,38.4,0.5
HAY,N,H5,Btk2,112,134,123,0.047,1.43,23.7,0.460377358,0.121467358,41.4,0.3
HAY,N,H6,Btk3,134,174,154,0.036,1.52,22.8,0.426415094,0.079855094,40.9,0.2
HAY,N,H7,Btk4,174,192,183,NA,NA,NA,NA,NA,39.8,0.2
HAY,N,H8,Btk5,192,206,199,0.043,1.48,23.6,0.441509434,0.092229434,48.7,NA
HAY,A,H1,Ap,0,17,8.5,0.037,1.29,23.8,0.513207547,0.206187547,36.1,1.1
HAY,A,H2,BA,17,24,20.5,0.064,1.41,25.2,0.467924528,0.112604528,44.3,0.9
HAY,A,H3,Bt1,24,46,35,0.067,1.44,25.7,0.456603774,0.086523774,43,0.7
HAY,A,H4,Bt2,46,64,55,0.046,1.51,21.9,0.430188679,0.099498679,39.2,0.5
HAY,A,H5,Btk1,64,75,69.5,0.03,1.51,20.7,0.430188679,0.117618679,35,0.3
HAY,A,H6,Btk2,75,92,83.5,0.017,1.52,18.7,0.426415094,0.142175094,39.3,0.1
HAY,A,H7,Btk3,92,130,111,0.027,1.42,19.3,0.464150943,0.190090943,38.6,0.1
HAY,A,H8,Btk4,130,180,155,0.017,1.36,20,0.486792453,0.214792453,34.2,0.1
HAY,A,H9,Btk5,180,210,195,0.019,1.36,20.3,0.486792453,0.210712453,28,0.1
KNZ,N,H1,A1,0,15,7.5,0.035,1.09,32.5,0.588679245,0.234429245,28.2,3.5
KNZ,N,H2,A2,15,29,22,0.038,1.28,27.2,0.516981132,0.168821132,32.3,2.3
KNZ,N,H3,Bt1,29,59,44,0.112,1.36,32,0.486792453,0.051592453,53.3,1.2
KNZ,N,H4,Bt2,59,86,72.5,0.089,1.44,29.1,0.456603774,0.037563774,49.6,0.8
KNZ,N,H5,Btk1,86,127,106.5,0.083,1.49,24.9,0.437735849,0.066725849,46,0.3
KNZ,N,H6,Btk2,127,179,153,0.061,1.45,25.6,0.452830189,0.081630189,43.2,0.3
KNZ,N,H7,2Bt,179,200,189.5,0.041,1.48,23,0.441509434,0.101109434,40,0.4
KNZ,A,H1,Ap1,0,15,7.5,0.04,1.44,21.3,0.456603774,0.149883774,39.1,1.6
KNZ,A,H2,Ap2,15,26,20.5,0.04,1.53,20.9,0.422641509,0.102871509,41.6,1.4
KNZ,A,H3,Bt,26,47,36.5,0.066,1.46,26,0.449056604,0.069456604,42.8,1
KNZ,A,H4,Btss,47,71,59,0.04,1.61,20,0.39245283,0.07045283,40.4,0.7
KNZ,A,H5,Btkss1,71,113,92,0.039,1.64,19.6,0.381132075,0.059692075,41.5,0.6
KNZ,A,H6,Btkss2,113,139,126,0.049,1.56,22.8,0.411320755,0.055640755,40.4,0.5
KNZ,A,H7,Btkss3,139,194,166.5,0.047,1.54,22.1,0.418867925,0.078527925,41.4,0.4
KNZ,A,H8,Btkss4,194,200,197,0.048,1.51,24.9,0.430188679,0.054198679,39.6,0.4
EKS,N,H1,A,0,19,9.5,0.056,1.06,29.4,0.6,0.28836,25.6,3.2
EKS,N,H2,AB,19,37,28,NA,NA,NA,NA,NA,30.4,2.2
EKS,N,H3,2Bt,37,64,50.5,NA,NA,NA,NA,NA,24.5,1.1
EKS,N,H4,2E,64,82,73,NA,NA,NA,NA,NA,23.5,0.3
EKS,N,H5,2B't,82,129,105.5,0.072,1.32,31.8,0.501886792,0.082126792,67.8,0.2
EKS,N,H6,3BC,129,167,148,0.082,1.44,29,0.456603774,0.039003774,64.5,0.1
EKS,N,H7,3Cr,167,200,183.5,NA,NA,NA,NA,NA,65,0.1
EKS,A,H1,Ap1,0,15,7.5,0.025,1.29,29.9,0.513207547,0.127497547,23.5,2.8
EKS,A,H2,Ap2,15,36,25.5,0.039,1.4,25.9,0.471698113,0.109098113,25.3,2.1
EKS,A,H3,AB,36,50,43,0.033,1.34,25.4,0.494339623,0.153979623,30,1.6
EKS,A,H4,2Bt,50,75,62.5,0.106,1.36,30.2,0.486792453,0.076072453,44.9,1.3
EKS,A,H5,2Btss,75,121,98,0.111,1.35,29.9,0.490566038,0.086916038,48.7,0.7
EKS,A,H6,2Btssyg,121,152,136.5,0.091,1.42,27.4,0.464150943,0.075070943,47.7,0.4
EKS,A,H7,3Btkg1,152,173,162.5,0.091,1.4,28,0.471698113,0.079698113,42.8,0.3
EKS,A,H8,3Btkg2,173,200,186.5,0.066,1.42,27.9,0.464150943,0.067970943,47.5,0.2
TRB,N,H1,Ap,0,13,6.5,NA,NA,NA,NA,NA,21.7,
TRB,N,H2,AB,13,25,19,0.023,1.29,21.9,0.513207547,0.230697547,22.8,
TRB,N,H3,Bt1,25,49,37,0.027,1.31,21.2,0.505660377,0.227940377,25.4,
TRB,N,H4,Bt2,49,75,62,0.026,1.39,21.9,0.475471698,0.171061698,28.8,
TRB,N,H5,Btk1,75,113,94,0.032,1.42,24.4,0.464150943,0.117670943,30.8,
TRB,N,H6,Btk2,113,150,131.5,0.02,1.29,22.2,0.513207547,0.226827547,26.3,
TRB,N,H7,Btk3,150,200,175,0.02,1.33,23.9,0.498113208,0.180243208,21.9,
TRB,A,H1,Ap,0,12,6,NA,NA,NA,NA,NA,24.6,
TRB,A,H2,BA,12,25,18.5,0.016,1.21,25.3,0.543396226,0.237266226,26.4,
TRB,A,H3,Bt1,25,44,34.5,0.029,1.22,24.5,0.539622642,0.240722642,27.4,
TRB,A,H4,Bt2,44,63,53.5,0.028,1.28,25.1,0.516981132,0.195701132,28.2,
TRB,A,H5,Btk1,63,78,70.5,0.025,1.44,23.2,0.456603774,0.122523774,28.3,
TRB,A,H6,Btk2,78,98,88,NA,NA,NA,NA,NA,28.4,
TRB,A,H7,Bk1,98,136,117,0.029,1.25,24.6,0.528301887,0.220801887,27.3,
TRB,A,H8,Bk2,136,200,168,0.024,1.22,25.8,0.539622642,0.224862642,21.1,
