Sample,Site,Use,Horizon,I_depth,B_depth,Depth_med,Horizon_Class,Sample_date,SampleID,d13C,14Cage,14Cplusminus,pMC,pMCplusminus,ppt,temp,pet,ari,ep,pptpet
1,HAY,N,S0H1,0,39,19.5,A,20180823,HAY_Npt_S0H1_20180823,-17.06,1010,20,88.16,0.24,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
2,HAY,N,S0H2,39,58,48.5,BA,20180823,HAY_Npt_S0H2_20180823,-16.26,3750,25,62.72,0.18,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
3,HAY,N,S0H3,58,92,75,Bt,20180823,HAY_Npt_S0H3_20180823,-17.2,9560,30,30.43,0.11,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
4,HAY,N,S0H4,92,112,102,Btk1,20180823,HAY_Npt_S0H4_20180823,-18.87,12540,35,20.99,0.09,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
5,HAY,N,S0H5,112,134,123,Btk2,20180823,HAY_Npt_S0H5_20180823,-19.87,13730,35,18.09,0.08,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
6,HAY,N,S0H6,134,174,154,Btk3,20180823,HAY_Npt_S0H6_20180823,-23.51,14550,40,16.34,0.08,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
7,HAY,N,S0H7,174,192,183,Btk4,20180823,HAY_Npt_S0H7_20180823,-25.29,14920,40,15.6,0.07,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
8,HAY,N,S0H8,192,206,199,Btk5,20180823,HAY_Npt_S0H8_20180823,-25.16,15090,40,15.28,0.08,613.0656933517912,12.389022413281099,1758.0000041999967,0.33309999108314514,-1.8675556686079577,0.34872906250690006
9,HAY,A,S0H1,0,17,8.5,Ap,20180823,HAY_Apt_S0H1_20180823,-18.42,1800,20,79.89,0.23,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
10,HAY,A,S0H2,17,24,20.5,BA,20180823,HAY_Apt_S0H2_20180823,-17.12,2660,20,71.83,0.2,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
11,HAY,A,S0H3,24,46,35,Bt,20180823,HAY_Apt_S0H3_20180823,-20.66,4920,25,54.2,0.16,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
12,HAY,A,S0H4,46,64,55,Bt2,20180823,HAY_Apt_S0H4_20180823,-19.1,6140,25,46.54,0.14,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
13,HAY,A,S0H5,64,75,69.5,Btk1,20180823,HAY_Apt_S0H5_20180823,-20.33,6460,25,44.73,0.14,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
